Evaluate with standard_BM25.txt
runid                 	all	STANDARD
iprec_at_recall_0.30  	all	0.1193
iprec_at_recall_0.40  	all	0.0743
iprec_at_recall_0.50  	all	0.0640
iprec_at_recall_0.60  	all	0.0476
iprec_at_recall_0.70  	all	0.0335
iprec_at_recall_0.80  	all	0.0316
iprec_at_recall_0.90  	all	0.0074
iprec_at_recall_1.00  	all	0.0000
P_5                   	all	0.2480
P_10                  	all	0.2160
P_15                  	all	0.1973
P_20                  	all	0.1780
P_30                  	all	0.1533
P_100                 	all	0.0984
P_200                 	all	0.0764
P_500                 	all	0.0486
P_1000                	all	0.0315

--------------------------------------
Evaluate with english_classic.txt
runid                 	all	STANDARD
num_q                 	all	25
num_ret               	all	25000
num_rel               	all	2132
num_rel_ret           	all	1226
map                   	all	0.1898
gm_map                	all	0.1385
Rprec                 	all	0.2713
bpref                 	all	0.2271
recip_rank            	all	0.5523
iprec_at_recall_0.00  	all	0.6516
iprec_at_recall_0.10  	all	0.4418
iprec_at_recall_0.20  	all	0.3340
iprec_at_recall_0.30  	all	0.2708
iprec_at_recall_0.40  	all	0.2208
iprec_at_recall_0.50  	all	0.1608
iprec_at_recall_0.60  	all	0.1144
iprec_at_recall_0.70  	all	0.0639
iprec_at_recall_0.80  	all	0.0446
iprec_at_recall_0.90  	all	0.0340
iprec_at_recall_1.00  	all	0.0044
P_5                   	all	0.4160
P_10                  	all	0.4040
P_15                  	all	0.3840
P_20                  	all	0.3680
P_30                  	all	0.3293
P_100                 	all	0.2036
P_200                 	all	0.1406
P_500                 	all	0.0803
P_1000                	all	0.0490

--------------------------------------
Evaluate with english_LMJ.txt
runid                 	all	STANDARD
num_q                 	all	25
num_ret               	all	25000
num_rel               	all	2132
num_rel_ret           	all	1456
map                   	all	0.3209
gm_map                	all	0.2493
Rprec                 	all	0.3729
bpref                 	all	0.3272
recip_rank            	all	0.7407
iprec_at_recall_0.00  	all	0.8189
iprec_at_recall_0.10  	all	0.6236
iprec_at_recall_0.20  	all	0.5283
iprec_at_recall_0.30  	all	0.4375
iprec_at_recall_0.40  	all	0.3560
iprec_at_recall_0.50  	all	0.2893
iprec_at_recall_0.60  	all	0.2439
iprec_at_recall_0.70  	all	0.1908
iprec_at_recall_0.80  	all	0.1383
iprec_at_recall_0.90  	all	0.0940
iprec_at_recall_1.00  	all	0.0202
P_5                   	all	0.5840
P_10                  	all	0.5800
P_15                  	all	0.5573
P_20                  	all	0.5080
P_30                  	all	0.4733
P_100                 	all	0.2752
P_200                 	all	0.1860
P_500                 	all	0.1015
P_1000                	all	0.0582

--------------------------------------
Evaluate with english_LMD.txt
runid                 	all	STANDARD
num_q                 	all	25
num_ret               	all	25000
num_rel               	all	2132
num_rel_ret           	all	1410
map                   	all	0.2935
gm_map                	all	0.2149
Rprec                 	all	0.3327
bpref                 	all	0.2914
recip_rank            	all	0.8120
iprec_at_recall_0.00  	all	0.8290
iprec_at_recall_0.10  	all	0.5699
iprec_at_recall_0.20  	all	0.4776
iprec_at_recall_0.30  	all	0.3795
iprec_at_recall_0.40  	all	0.3136
iprec_at_recall_0.50  	all	0.2609
iprec_at_recall_0.60  	all	0.2190
iprec_at_recall_0.70  	all	0.1848
iprec_at_recall_0.80  	all	0.1210
iprec_at_recall_0.90  	all	0.0788
iprec_at_recall_1.00  	all	0.0198
P_5                   	all	0.5840
P_10                  	all	0.5320
P_15                  	all	0.4853
P_20                  	all	0.4460
P_30                  	all	0.3800
P_100                 	all	0.2380
P_200                 	all	0.1706
P_500                 	all	0.0978
P_1000                	all	0.0564

--------------------------------------
Evaluate with simple_BM25.txt
runid                 	all	STANDARD
num_q                 	all	25
num_ret               	all	25000
num_rel               	all	2132
num_rel_ret           	all	1098
map                   	all	0.2724
gm_map                	all	0.1828
Rprec                 	all	0.3174
bpref                 	all	0.2863
recip_rank            	all	0.8088
iprec_at_recall_0.00  	all	0.8595
iprec_at_recall_0.10  	all	0.5942
iprec_at_recall_0.20  	all	0.4555
iprec_at_recall_0.30  	all	0.3458
iprec_at_recall_0.40  	all	0.2726
iprec_at_recall_0.50  	all	0.2182
iprec_at_recall_0.60  	all	0.1722
iprec_at_recall_0.70  	all	0.1377
iprec_at_recall_0.80  	all	0.1081
iprec_at_recall_0.90  	all	0.0685
iprec_at_recall_1.00  	all	0.0098
P_5                   	all	0.6480
P_10                  	all	0.5760
P_15                  	all	0.5147
P_20                  	all	0.4540
P_30                  	all	0.4013
P_100                 	all	0.2248
P_200                 	all	0.1454
P_500                 	all	0.0746
P_1000                	all	0.0439

--------------------------------------
Evaluate with simple_Boolean.txt
runid                 	all	STANDARD
num_q                 	all	25
num_ret               	all	25000
num_rel               	all	2132
num_rel_ret           	all	651
map                   	all	0.0777
gm_map                	all	0.0297
Rprec                 	all	0.1292
bpref                 	all	0.1045
recip_rank            	all	0.3490
iprec_at_recall_0.00  	all	0.3821
iprec_at_recall_0.10  	all	0.1661
iprec_at_recall_0.20  	all	0.1344
iprec_at_recall_0.30  	all	0.0954
iprec_at_recall_0.40  	all	0.0803
iprec_at_recall_0.50  	all	0.0648
iprec_at_recall_0.60  	all	0.0518
iprec_at_recall_0.70  	all	0.0465
iprec_at_recall_0.80  	all	0.0280
iprec_at_recall_0.90  	all	0.0038
iprec_at_recall_1.00  	all	0.0000
P_5                   	all	0.2240
P_10                  	all	0.1760
P_15                  	all	0.1627
P_20                  	all	0.1480
P_30                  	all	0.1320
P_100                 	all	0.0920
P_200                 	all	0.0666
P_500                 	all	0.0419
P_1000                	all	0.0260

--------------------------------------
Evaluate with simple_classic.txt
runid                 	all	STANDARD
num_q                 	all	25
num_ret               	all	25000
num_rel               	all	2132
num_rel_ret           	all	963
map                   	all	0.1778
gm_map                	all	0.1125
Rprec                 	all	0.2403
bpref                 	all	0.2090
recip_rank            	all	0.5946
iprec_at_recall_0.00  	all	0.6700
iprec_at_recall_0.10  	all	0.4606
iprec_at_recall_0.20  	all	0.2873
iprec_at_recall_0.30  	all	0.2209
iprec_at_recall_0.40  	all	0.1874
iprec_at_recall_0.50  	all	0.1376
iprec_at_recall_0.60  	all	0.1044
iprec_at_recall_0.70  	all	0.0676
iprec_at_recall_0.80  	all	0.0444
iprec_at_recall_0.90  	all	0.0314
iprec_at_recall_1.00  	all	0.0000
P_5                   	all	0.4560
P_10                  	all	0.4080
P_15                  	all	0.3813
P_20                  	all	0.3500
P_30                  	all	0.3080
P_100                 	all	0.1704
P_200                 	all	0.1122
P_500                 	all	0.0630
P_1000                	all	0.0385

--------------------------------------
Evaluate with simple_LMJ.txt
runid                 	all	STANDARD
num_q                 	all	25
num_ret               	all	25000
num_rel               	all	2132
num_rel_ret           	all	1104
map                   	all	0.2667
